vehicle,scenario,policy,crisis,start,end,full_cvar_95,full_max_drawdown,full_return,max_drawdown_improvement,n_sessions,policy_cvar_95,policy_max_drawdown,policy_return,protection_vs_full,recovery_average_gross,recovery_capture,recovery_full_return,recovery_missed_upside,recovery_policy_return,recovery_sessions
shanghai_composite,lag1_cost10,current_ladder,property_2021_22,2021-09-13,2022-04-26,-0.03082200316,-0.2231110655,-0.2205389935,0.0351098904,147,-0.02372133046,-0.1880011751,-0.1855816947,0.03495729874,0.8961904762,0.7299395219,0.1372457173,0.04860737714,0.1001810733,63
shanghai_composite,lag1_cost10,current_ladder,confidence_2023_24,2023-05-08,2024-02-05,-0.0179765973,-0.2040692022,-0.1896281126,0.001219040204,187,-0.01768544192,-0.202850162,-0.1883869545,0.001241158042,0.9961904762,0.9927604853,0.1672131296,0.001756656646,0.1660025877,63
shanghai_composite,lag1_cost10,current_riskoff_075,bear_2004_05,2004-04-06,2005-07-11,-0.02418648438,-0.4309480036,-0.427393864,0.02144751295,307,-0.0230317559,-0.4095004906,-0.403322886,0.02407097795,0.9526984127,0.8290537017,0.1395038739,0.02939392622,0.1156562031,63
shanghai_composite,lag1_cost10,current_riskoff_075,gfc_2007_08,2007-10-16,2008-11-04,-0.05978690901,-0.7198478335,-0.7169687098,0.05879656996,259,-0.050859767,-0.6610512636,-0.6579162251,0.05905248468,0.9628571429,0.8981389728,0.3272144508,0.0411010218,0.2938840507,63
shanghai_composite,lag1_cost10,current_riskoff_075,tightening_2009_10,2009-08-04,2010-07-05,-0.04423992406,-0.3190299392,-0.3172890992,-0.004057458901,223,-0.04424242406,-0.3230873981,-0.3213569306,-0.004067831438,0.9980952381,0.9932369728,0.2019752485,0.001090469994,0.2006092844,63
shanghai_composite,lag1_cost10,current_riskoff_075,slowdown_2011_12,2011-04-18,2012-12-03,-0.02469899609,-0.358993781,-0.3575642215,0.002550735331,400,-0.02286654781,-0.3564430456,-0.3550271043,0.002537117222,0.9950793651,0.9703935408,0.1667739165,0.004599839157,0.1618363314,63
shanghai_composite,lag1_cost10,current_riskoff_075,bubble_2015_16,2015-06-12,2016-01-28,-0.07343531386,-0.4859696229,-0.4814775391,0.02389201678,156,-0.06902762927,-0.4620776062,-0.4573767313,0.02410080784,0.9785714286,0.9743546828,0.1288497164,0.006463837912,0.1255453245,63
shanghai_composite,lag1_cost10,current_riskoff_075,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03203315579,-0.3076591633,-0.3051291008,0.005836843267,229,-0.02751904606,-0.30182232,-0.2992709276,0.005858173192,0.9976190476,0.9981170677,0.3155244917,0.0006923297159,0.3149303804,63
shanghai_composite,lag1_cost10,current_riskoff_075,covid_2020,2020-01-13,2020-03-23,-0.04945374726,-0.1461691236,-0.1397414058,0,45,-0.04945374726,-0.1461691236,-0.1397414058,0,0.9761904762,0.9634408547,0.1200604145,0.005113646641,0.1156711084,63
shanghai_composite,lag1_cost10,current_riskoff_075,property_2021_22,2021-09-13,2022-04-26,-0.03082200316,-0.2231110655,-0.2205389935,0.02341985018,147,-0.02545891446,-0.1996912153,-0.1973065673,0.02323242617,0.9147619048,0.7907341302,0.1372457173,0.03814260091,0.1085248729,63
shanghai_composite,lag1_cost10,current_riskoff_075,confidence_2023_24,2023-05-08,2024-02-05,-0.0179765973,-0.2040692022,-0.1896281126,0.001219040204,187,-0.01768544192,-0.202850162,-0.1883869545,0.001241158042,0.9961904762,0.9927604853,0.1672131296,0.001756656646,0.1660025877,63
shanghai_composite,lag1_cost10,matched_constant,bear_2004_05,2004-04-06,2005-07-11,-0.02418648438,-0.4309480036,-0.427393864,0.02104344742,307,-0.02270400511,-0.4099045562,-0.4064448874,0.0209489766,0.9387062937,0.9375515115,0.1395038739,0.02457575272,0.1307920679,63
shanghai_composite,lag1_cost10,matched_constant,gfc_2007_08,2007-10-16,2008-11-04,-0.05978690901,-0.7198478335,-0.7169687098,0.02446375239,259,-0.05612234777,-0.6953840811,-0.6924454257,0.02452328411,0.9387062937,0.9346204901,0.3272144508,0.04656108804,0.3058213303,63
shanghai_composite,lag1_cost10,matched_constant,tightening_2009_10,2009-08-04,2010-07-05,-0.04423992406,-0.3190299392,-0.3172890992,0.01760205749,223,-0.04152829514,-0.3014278817,-0.2997515042,0.01753759496,0.9387062937,0.9350177511,0.2019752485,0.02526649619,0.1888504427,63
shanghai_composite,lag1_cost10,matched_constant,slowdown_2011_12,2011-04-18,2012-12-03,-0.02469899609,-0.358993781,-0.3575642215,0.01865007979,400,-0.02318510308,-0.3403437012,-0.3389627211,0.01860150044,0.9387062937,0.936437776,0.1667739165,0.02377329074,0.1561733955,63
shanghai_composite,lag1_cost10,matched_constant,bubble_2015_16,2015-06-12,2016-01-28,-0.07343531386,-0.4859696229,-0.4814775391,0.02344048063,156,-0.0689341913,-0.4625291423,-0.4581201055,0.02335743355,0.9387062937,0.9393457201,0.1288497164,0.02625417441,0.1210344296,63
shanghai_composite,lag1_cost10,matched_constant,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03203315579,-0.3076591633,-0.3051291008,0.01654289234,229,-0.03006972495,-0.291116271,-0.2886845371,0.01644456368,0.9387062937,0.932063943,0.3155244917,0.02842644213,0.2940890018,63
shanghai_composite,lag1_cost10,matched_constant,covid_2020,2020-01-13,2020-03-23,-0.04945374726,-0.1461691236,-0.1397414058,0.008736719414,45,-0.0464225438,-0.1374324042,-0.1313369256,0.008404480261,0.9387062937,0.9366419186,0.1200604145,0.01594495017,0.112453617,63
shanghai_composite,lag1_cost10,matched_constant,property_2021_22,2021-09-13,2022-04-26,-0.03082200316,-0.2231110655,-0.2205389935,0.01254000754,147,-0.02893280836,-0.210571058,-0.2081176658,0.01242132762,0.9387062937,0.9364334808,0.1372457173,0.01927285191,0.1285214848,63
shanghai_composite,lag1_cost10,matched_constant,confidence_2023_24,2023-05-08,2024-02-05,-0.0179765973,-0.2040692022,-0.1896281126,0.01150219757,187,-0.01687474502,-0.1925670046,-0.1788151626,0.01081295001,0.9387062937,0.9352887736,0.1672131296,0.01928884141,0.1563925629,63
shanghai_composite,lag1_cost10,vol_target_15,bear_2004_05,2004-04-06,2005-07-11,-0.02418648438,-0.4309480036,-0.427393864,0.05541300477,307,-0.01979114634,-0.3755349988,-0.3538536404,0.07354022357,0.7095889513,0.5693527563,0.1395038739,0.1194989632,0.07942691513,63
shanghai_composite,lag1_cost10,vol_target_15,gfc_2007_08,2007-10-16,2008-11-04,-0.05978690901,-0.7198478335,-0.7169687098,0.2420552758,259,-0.03107485865,-0.4777925577,-0.4748449055,0.2421238043,0.5069409024,0.5057782151,0.3272144508,0.3720793362,0.1654979409,63
shanghai_composite,lag1_cost10,vol_target_15,tightening_2009_10,2009-08-04,2010-07-05,-0.04423992406,-0.3190299392,-0.3172890992,0.1066179969,223,-0.02788676948,-0.2124119423,-0.2113777133,0.1059113858,0.7482930098,0.6767428964,0.2019752485,0.1080652816,0.1366853147,63
shanghai_composite,lag1_cost10,vol_target_15,slowdown_2011_12,2011-04-18,2012-12-03,-0.02469899609,-0.358993781,-0.3575642215,-0.0002927718276,400,-0.02237898267,-0.3592865528,-0.3578576463,-0.0002934247616,0.7853714985,0.7712577096,0.1667739165,0.07510800162,0.1286256689,63
shanghai_composite,lag1_cost10,vol_target_15,bubble_2015_16,2015-06-12,2016-01-28,-0.07343531386,-0.4859696229,-0.4814775391,0.1917349558,156,-0.03970067969,-0.2942346672,-0.2911508445,0.1903266946,0.6174261525,0.5304920629,0.1288497164,0.1832421942,0.06835375186,63
