slot,market,construction,month_from,month_to,adjacent,n,rho,p,p_method,era
cn_mature,cn,trading_beta.v0,2026-05,2026-06,True,15,0.7607,0.00137,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2026-06,2026-07,True,15,0.8679,6e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2026-07,2026-08,True,15,0.9036,1e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-01,2024-02,True,11,0.8818,0.00072,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-02,2024-03,True,11,0.9636,5e-05,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-03,2024-04,True,11,0.9818,1e-05,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-04,2024-05,True,11,0.9182,0.00021,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-05,2024-06,True,11,0.9091,0.00031,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-06,2024-07,True,11,0.7636,0.0084,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-07,2024-08,True,11,0.9182,0.00018,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-08,2024-09,True,11,0.9091,0.00023,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-09,2024-10,True,11,0.7273,0.01462,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-10,2024-11,True,11,0.9545,4e-05,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-11,2024-12,True,11,0.9636,3e-05,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2024-12,2025-01,True,11,0.7818,0.00623,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-01,2025-02,True,11,0.9182,0.00019,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-02,2025-03,True,11,0.9727,1e-05,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-03,2025-04,True,11,0.9636,5e-05,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-04,2025-05,True,11,0.8818,0.00069,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-05,2025-06,True,11,0.9273,8e-05,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-06,2025-07,True,11,0.6091,0.05112,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-07,2025-08,True,11,0.6545,0.0334,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-08,2025-09,True,11,0.8909,0.00055,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-09,2025-10,True,11,0.9,0.0004,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-10,2025-11,True,11,0.9182,0.0002,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-11,2025-12,True,11,0.8091,0.00374,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2025-12,2026-01,True,11,0.8182,0.00324,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2026-01,2026-02,True,11,0.9,0.00049,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2026-02,2026-03,True,11,0.6818,0.02524,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2026-03,2026-04,True,11,0.6364,0.04002,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2026-04,2026-05,True,11,0.5545,0.08138,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2026-05,2026-06,True,11,0.8091,0.00375,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2026-06,2026-07,True,11,0.9636,2e-05,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,trading_beta.v0,2026-07,2026-08,True,11,0.9818,1e-05,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2023-06,2023-07,True,21,0.9883,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2023-07,2023-08,True,21,0.7766,2e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2023-08,2023-09,True,21,0.9662,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2023-09,2023-10,True,21,0.9623,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2023-10,2023-11,True,21,0.8636,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2023-11,2023-12,True,22,0.9537,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2023-12,2024-01,True,22,0.8046,5e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-01,2024-02,True,22,0.8329,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-02,2024-03,True,22,0.8611,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-03,2024-04,True,22,0.9277,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-04,2024-05,True,22,0.9458,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-05,2024-06,True,23,0.8883,1e-05,"mc-permutation(n=23,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-06,2024-07,True,23,0.746,9e-05,"mc-permutation(n=23,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-07,2024-08,True,23,0.8715,1e-05,"mc-permutation(n=23,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-08,2024-09,True,23,0.8261,1e-05,"mc-permutation(n=23,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-09,2024-10,True,23,0.7372,0.0001,"mc-permutation(n=23,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-10,2024-11,True,23,0.7016,0.00024,"mc-permutation(n=23,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-11,2024-12,True,23,0.8607,1e-05,"mc-permutation(n=23,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2024-12,2025-01,True,24,0.7548,5e-05,"mc-permutation(n=24,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-01,2025-02,True,24,0.9652,1e-05,"mc-permutation(n=24,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-02,2025-03,True,24,0.9757,1e-05,"mc-permutation(n=24,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-03,2025-04,True,24,0.8626,1e-05,"mc-permutation(n=24,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-04,2025-05,True,24,0.9643,1e-05,"mc-permutation(n=24,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-05,2025-06,True,25,0.9538,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-06,2025-07,True,25,0.8531,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-07,2025-08,True,25,0.8246,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-08,2025-09,True,25,0.8792,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-09,2025-10,True,25,0.8438,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-10,2025-11,True,25,0.95,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-11,2025-12,True,25,0.9738,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2025-12,2026-01,True,25,0.9177,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2026-01,2026-02,True,25,0.8885,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2026-02,2026-03,True,25,0.8723,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2026-03,2026-04,True,25,0.9131,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2026-04,2026-05,True,25,0.8169,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2026-05,2026-06,True,25,0.6154,0.0013,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
cross_market_pair.us,us,trading_beta.v0,2026-06,2026-07,True,25,0.8492,1e-05,"mc-permutation(n=25,draws=100000,seed=20260811)",reconstruction
