sample,phase,horizon,asset,n,mean_return,median_return,positive_rate,mean_excess_spy,excess_hit_rate
expanded_1999_2025,election,jul_dec,XLV,7,-0.011823264830280416,-0.030671906882789535,0.2857142857142857,-0.03117536094101427,0.42857142857142855
expanded_1999_2025,election,q2,DEF,7,0.03911510402583326,0.03634628069874002,1.0,0.010416030586525928,0.5714285714285714
expanded_1999_2025,election,q2,QQQ,7,0.03758266580578224,0.03388647768446518,0.5714285714285714,0.00888359236647491,0.5714285714285714
expanded_1999_2025,election,q2,SPY,7,0.028699073439307332,0.01634056227437397,0.5714285714285714,0.0,0.0
expanded_1999_2025,election,q2,XLK,7,0.039681523549201056,0.025686521151591757,0.5714285714285714,0.010982450109893722,0.5714285714285714
expanded_1999_2025,election,q2,XLP,7,0.04822776124858189,0.027271361477282152,0.8571428571428571,0.019528687809274557,0.42857142857142855
expanded_1999_2025,election,q2,XLU,7,0.042571968247109404,0.046296829476891066,0.8571428571428571,0.013872894807802072,0.7142857142857143
expanded_1999_2025,election,q2,XLV,7,0.025237066665466563,0.01608276037953238,0.5714285714285714,-0.0034620067738407707,0.5714285714285714
expanded_1999_2025,midterm,apr_oct,DEF,6,0.017298755390494136,0.060767364454834216,0.6666666666666666,0.04038561042150851,1.0
expanded_1999_2025,midterm,apr_oct,QQQ,6,-0.03591861584866366,0.04073312345481839,0.6666666666666666,-0.012831760817649288,0.5
expanded_1999_2025,midterm,apr_oct,SPY,6,-0.023086855031014375,0.03036017529512136,0.6666666666666666,0.0,0.0
expanded_1999_2025,midterm,apr_oct,XLK,6,-0.03693116133720936,0.04836856483045793,0.6666666666666666,-0.013844306306194987,0.5
expanded_1999_2025,midterm,apr_oct,XLP,6,0.012971209273552184,0.05280947091800947,0.6666666666666666,0.03605806430456656,1.0
expanded_1999_2025,midterm,apr_oct,XLU,6,0.0068768518814612545,0.08674980681024036,0.6666666666666666,0.02996370691247563,0.8333333333333334
expanded_1999_2025,midterm,apr_oct,XLV,6,0.02884235438702722,0.014359935553125203,0.5,0.0519292094180416,0.6666666666666666
expanded_1999_2025,midterm,full_year,DEF,6,0.04937537208750279,0.042341563030167895,0.6666666666666666,0.04931508044662397,0.6666666666666666
expanded_1999_2025,midterm,full_year,QQQ,6,-0.03933723617739876,0.03508901662857605,0.5,-0.03939752781827758,0.5
expanded_1999_2025,midterm,full_year,SPY,6,6.0291640878821586e-05,0.04447409193061963,0.5,0.0,0.0
expanded_1999_2025,midterm,full_year,XLK,6,-0.04362692784228722,0.04858697520307392,0.5,-0.04368721948316604,0.3333333333333333
expanded_1999_2025,midterm,full_year,XLP,6,0.025024946353633098,0.06485251612828108,0.5,0.024964654712754275,0.5
expanded_1999_2025,midterm,full_year,XLU,6,0.052585362392750225,0.046218975602714596,0.8333333333333334,0.052525070751871406,0.6666666666666666
expanded_1999_2025,midterm,full_year,XLV,6,0.0649146155028356,0.04789631011303008,0.6666666666666666,0.06485432386195678,0.6666666666666666
expanded_1999_2025,midterm,jul_dec,DEF,6,0.05826120089821546,0.07752281599073851,0.8333333333333334,0.013377468763395794,0.5
