sample,year,phase,horizon,asset,return,excess_spy
modern_2013_2025,2021,post_election,apr_oct,XLP,0.056357151251728244,-0.10991521761842216
modern_2013_2025,2021,post_election,apr_oct,XLU,0.06090303932786556,-0.10536932954228484
modern_2013_2025,2021,post_election,apr_oct,XLK,0.22062183240986322,0.05434946353971282
modern_2013_2025,2021,post_election,jul_dec,SPY,0.11702935839691775,0.0
modern_2013_2025,2021,post_election,jul_dec,QQQ,0.12518642080213316,0.00815706240521541
modern_2013_2025,2021,post_election,jul_dec,DEF,0.1321728999720999,0.015143541575182162
modern_2013_2025,2021,post_election,jul_dec,XLV,0.12687448437148996,0.00984512597457221
modern_2013_2025,2021,post_election,jul_dec,XLP,0.11651439763912408,-0.0005149607577936699
modern_2013_2025,2021,post_election,jul_dec,XLU,0.14959495154309477,0.03256559314617702
modern_2013_2025,2021,post_election,jul_dec,XLK,0.18180541003828576,0.06477605164136802
modern_2013_2025,2021,post_election,q2,SPY,0.08359324890062148,0.0
modern_2013_2025,2021,post_election,q2,QQQ,0.11190149971935437,0.028308250818732894
modern_2013_2025,2021,post_election,q2,DEF,0.0362060063350258,-0.04738724256559568
modern_2013_2025,2021,post_election,q2,XLV,0.08310344864224306,-0.0004898002583784145
modern_2013_2025,2021,post_election,q2,XLP,0.030954153142625618,-0.05263909575799586
modern_2013_2025,2021,post_election,q2,XLU,-0.004980160962895885,-0.08857340986351736
modern_2013_2025,2021,post_election,q2,XLK,0.1138521715673051,0.03025892266668362
modern_2013_2025,2022,midterm,full_year,SPY,-0.18175369217890835,0.0
modern_2013_2025,2022,midterm,full_year,QQQ,-0.32577013204063876,-0.1440164398617304
modern_2013_2025,2022,midterm,full_year,DEF,-0.0011675000732708218,0.18058619210563753
modern_2013_2025,2022,midterm,full_year,XLV,-0.02079297686273518,0.16096071531617318
modern_2013_2025,2022,midterm,full_year,XLP,-0.00809424895941524,0.17365944321949311
modern_2013_2025,2022,midterm,full_year,XLU,0.014429650046224207,0.19618334222513256
